Wavelength,"Control-NP, RT, 1h,50:1","Control-Cy5, RT, 1h,50:1"
200,0.5705,0.5045
201,0.5865,0.525
202,0.6165,0.5605
203,0.654,0.613
204,0.7295,0.682
205,0.8145,0.78
206,0.938,0.9
207,1.071,1.025
208,1.229,1.1755
209,1.3775,1.3145
210,1.521,1.448
211,1.6675,1.585
212,1.8135,1.7085
213,1.9495,1.83
214,2.0905,1.938
215,2.209,2.034
216,2.31,2.094
217,2.409,2.148
218,2.4865,2.1775
219,2.5635,2.197
220,2.614,2.1965
221,2.65,2.187
222,2.654,2.1685
223,2.659,2.1405
224,2.6455,2.111
225,2.5915,2.0525
226,2.575,2.015
227,2.5645,1.9875
228,2.543,1.961
229,2.519,1.939
230,2.4925,1.9125
231,2.46,1.8845
232,2.404,1.84
233,2.35,1.799
234,2.2855,1.745
235,2.2295,1.699
236,2.181,1.657
237,2.1315,1.617
238,2.0875,1.5825
239,2.0395,1.54
240,1.999,1.5035
241,1.9595,1.4715
242,1.936,1.4475
243,1.913,1.427
244,1.8915,1.411
245,1.864,1.3875
246,1.8275,1.358
247,1.802,1.336
248,1.7815,1.318
249,1.766,1.305
250,1.749,1.291
251,1.7205,1.2705
252,1.692,1.2475
253,1.6665,1.2265
254,1.6435,1.208
255,1.623,1.191
256,1.599,1.173
257,1.574,1.1515
258,1.5475,1.1305
259,1.529,1.1145
260,1.515,1.101
261,1.5035,1.0905
262,1.492,1.0825
263,1.4765,1.0725
264,1.4585,1.058
265,1.437,1.0385
266,1.417,1.0225
267,1.398,1.009
268,1.3855,0.9965
269,1.3705,0.984
270,1.356,0.972
271,1.339,0.958
272,1.3245,0.946
273,1.313,0.938
274,1.2995,0.927
275,1.2855,0.9155
276,1.27,0.9025
277,1.256,0.8915
278,1.242,0.8795
279,1.228,0.87
280,1.2145,0.8575
281,1.2005,0.8465
282,1.1875,0.8345
283,1.1735,0.823
284,1.1615,0.813
285,1.1455,0.803
286,1.132,0.791
287,1.118,0.779
288,1.105,0.77
289,1.09,0.758
290,1.075,0.7465
